"borough","closuretype","editdate","gispropnum","name","omppropid","parkdistrict","propertyname","red_sign_installed","status","subpropertyname","system","yellow_sign_removed","polygon","approx_date_closed","approx_date_reopened"
"B","Completely Locked","2020-06-23T15:14:22.000","B118A","St. Mary's Playground Skatepark","B118A","B-06","St. Mary's Park",,"Reopened",,"B118A-SKATEPARK-01",,"POLYGON ((-73.99728246399214 40.676445060567964, -73.99726453717712 40.676481576915954, -73.99713599445931 40.67644499758127, -73.99715391896922 40.676408483054146, -73.99722895021256 40.676255641418734, -73.99735749853032 40.67629222155103, -73.99728246399214 40.676445060567964))","2020-04-09T19:11:11.000","2020-06-22T00:00:00.000"
"Q","Completely Locked","2020-06-21T17:25:54.000","Q163","Rockaway Beach State Park","Q163","Q-14","Rockaway Beach Boardwalk","true","UnderConstruction",,"Q163-SKATEPARK-02",,"POLYGON ((-73.81413782978484 40.584108601422066, -73.81269154823842 40.58446159026089, -73.81253869319939 40.58409616159402, -73.81399522204758 40.583733147705516, -73.81413782978484 40.584108601422066))","2020-04-09T19:11:11.000",
"X","Temporary Fencing","2020-06-22T10:45:06.000","X104","Williamsbridge Oval Skate Park","X104-01","X-07","Williamsbridge Oval","true","Reopened","Plgd w/ Mini Pool & Courts","X104-01-SKATEPARK-01",,"POLYGON ((-73.87693604675017 40.8773892696712, -73.8765485483472 40.87770105325674, -73.87622768127142 40.87747281944186, -73.87662569024278 40.87715318329314, -73.87693604675017 40.8773892696712))","2020-04-09T19:11:11.000","2020-06-21T00:00:00.000"
"M","Completely Locked","2020-06-22T13:10:39.000","M047","Thomas Jefferson Skate Park","M047-01","M-11","Thomas Jefferson Park","true","Reopened","Thomas Jefferson Park Playground","M047-01-SKATEPARK-01",,"POLYGON ((-73.93366574845591 40.793466262896516, -73.93335175365837 40.79333456368173, -73.93337717819395 40.79330312840486, -73.93372349476282 40.79308889640796, -73.93388707222233 40.79315689348499, -73.93366574845591 40.793466262896516))","2020-04-09T19:11:11.000","2020-06-21T00:00:00.000"
"B","Completely Locked","2020-06-22T11:24:26.000","B141","City Line Skatepark","B141","B-05","City Line Park",,"Reopened",,"B141-SKATEPARK-01",,"POLYGON ((-73.874757471514 40.67921567367878, -73.87471798223643 40.679220633951715, -73.87466646746866 40.679218380591884, -73.87461614290513 40.679209700627375, -73.8745683825837 40.67919483149267, -73.87452448925323 40.67917417804244, -73.87435724026335 40.67904365493965, -73.87435338280854 40.67902680658728, -73.87457148895703 40.67899787145702, -73.87457448443371 40.6790101775634, -73.87459332474813 40.67908757308139, -73.874757471514 40.67921567367878))","2020-04-09T19:11:11.000","2020-06-20T00:00:00.000"
"B","Completely Locked","2020-06-23T15:15:39.000","B012","Brower Park Skatepark","B012","B-08","Brower Park",,"Reopened",,"B012-SKATEPARK-01",,"POLYGON ((-73.94334521645898 40.67444785599524, -73.9433387682074 40.67460914138278, -73.9433219865445 40.6746473906012, -73.94329386067292 40.674683165914445, -73.94303816396182 40.67466658719427, -73.94299845301352 40.67466049715449, -73.94299297350382 40.67464774854861, -73.9429882404698 40.674634827413485, -73.94298426335148 40.67462175896826, -73.94298105040629 40.67460856843154, -73.94297860752539 40.67459528192129, -73.94297693941766 40.67458192465423, -73.94297604960718 40.67456852454812, -73.94297593925475 40.67455510681806, -73.94297660952023 40.674541697579485, -73.94297805919724 40.67452832384725, -73.94298028353286 40.674515010833446, -73.94298328013794 40.674501785552216, -73.94298704189379 40.674488673214476, -73.94299156286398 40.67447569993208, -73.94299683238162 40.674462890914164, -73.94300284214543 40.67445027137088, -73.94305392475346 40.67440568244423, -73.94305815842242 40.674405026263074, -73.9430643862025 40.6743988599159, -73.94307118140298 40.674393050453155, -73.94307850614916 40.674387628473525, -73.94308632493525 40.67438262097474, -73.94309459515948 40.67437805405061, -73.94310327658734 40.67437395199509, -73.94311232189078 40.6743703354965, -73.94312168492601 40.67436722344271, -73.94313131836907 40.67436463201962, -73.94314117134978 40.67436257470967, -73.94315119418391 40.674361061393974, -73.943161332457 40.674360101050745, -73.94317153530673 40.67435969815736, -73.94318175068959 40.67435985538965, -73.94319192420103 40.67436057001933, -73.94320200380051 40.67436184112005, -73.9432119374545 40.67436365966105, -73.94322020917083 40.67436566288718, -73.94328707163946 40.67440631089914, -73.94334521645898 40.67444785599524))","2020-04-09T19:11:11.000","2020-06-22T00:00:00.000"
"Q","Completely Locked","2020-06-21T17:18:56.000","Q007","Bayswater Skatepark","Q007","Q-14","Bayswater Park","true","Reopened",,"Q007-SKATEPARK-01",,"POLYGON ((-73.76801413389774 40.60024347023836, -73.76757260859317 40.600054013502785, -73.76756396388615 40.60004859466733, -73.76755658087968 40.600042183302584, -73.76755065393151 40.60003494639905, -73.76754633832697 40.600027075182396, -73.76754374794737 40.60001877610352, -73.76754294937875 40.6000102663239, -73.76754396546538 40.60000177102108, -73.76754676826215 40.59999351166774, -73.76762582527685 40.599886472098085, -73.76763305960216 40.59988026769689, -73.7676414791907 40.59987500313863, -73.76765087448302 40.599870805874076, -73.76766101591674 40.59986777989973, -73.76767165276127 40.5998660012533, -73.76768252377501 40.59986551083059, -73.767693360719 40.59986632339839, -73.76770389902373 40.599868417709715, -73.76816436106965 40.60006600066811, -73.76817334419883 40.60007332385165, -73.76818075029445 40.600081610117165, -73.76818640400602 40.60009066189618, -73.76819017374629 40.600100267299965, -73.76819196814985 40.6001101992121, -73.76819174785972 40.60012022341668, -73.76818951605698 40.600130103982444, -73.7681853255371 40.60013960687916, -73.7681201419949 40.60022786374773, -73.76810750985581 40.60023570074672, -73.76809336655946 40.60024185881716, -73.76807809428857 40.60024617303304, -73.76806210223101 40.600248527151486, -73.76804582065607 40.60024885810332, -73.76802968673115 40.60024715776553, -73.76801413389774 40.60024347023836))","2020-04-09T19:11:11.000","2020-06-21T00:00:00.000"
"X","Completely Locked","2020-06-22T09:57:06.000","X179","Playground 52 Skatepark","X179","X-02","Playground 52 LII",,"Reopened",,"X179-SKATEPARK-01",,"POLYGON ((-73.90228015716708 40.81494224824046, -73.90233550414648 40.81505530307617, -73.9019757396196 40.8151537751487, -73.9019171076063 40.81503107932192, -73.90221334209714 40.8149499971054, -73.9022179717151 40.81495968588301, -73.90228015716708 40.81494224824046))","2020-04-09T19:11:11.000","2020-06-21T00:00:00.000"
"R","Completely Locked","2020-06-22T17:13:15.000","R008","Faber Park Skate Park","R008","R-01","Faber Pool and Park","true","Reopened",,"R008-SKATEPARK-01",,"POLYGON ((-74.13590342096855 40.640529910209594, -74.13590227903882 40.64053457354894, -74.13589668528404 40.64055268780681, -74.13589177150733 40.640566274349055, -74.13589085907395 40.6405791420507, -74.13589926507477 40.64059056871512, -74.13590952407574 40.64059181551695, -74.13591934367062 40.64059439920823, -74.13592842579548 40.64059824179624, -74.13593649476667 40.64060322563893, -74.13594330675247 40.640609200638046, -74.13594865450395 40.64061598513385, -74.13595237682831 40.64062337399864, -74.13595435859676 40.64063114223887, -74.13595454140378 40.64063905488803, -74.13595292003026 40.64064687151351, -74.13594954246167 40.640654355221976, -74.1359445122656 40.64066127895985, -74.13595477001886 40.64065900652877, -74.1359653528836 40.64065790258674, -74.13597603511319 40.64065798991358, -74.1359865850005 40.64065926698222, -74.13599677669784 40.64066170704429, -74.13600638903112 40.640665256330216, -74.13601879602919 40.64065373841878, -74.1360335839599 40.640643987210396, -74.13605032544953 40.640636282370785, -74.13606853744999 40.640630847799585, -74.13608769303583 40.64062783990951, -74.13610724149589 40.64062734490131, -74.13612661778797 40.640629377852015, -74.13614526263005 40.64063387998945, -74.13615930391114 40.64061742257923, -74.13616594414552 40.64060931814532, -74.13617421054718 40.64060213211634, -74.1361838859841 40.64059605385817, -74.13619471897384 40.64059123945821, -74.13620642842139 40.64058781622234, -74.1362187083276 40.64058587276365, -74.13623123842856 40.64058545899, -74.13624369247233 40.64058658699452, -74.13624199000047 40.64058187929432, -74.1362413298939 40.64057702267389, -74.1362417313391 40.640572150387456, -74.1362431816005 40.640567393925956, -74.13624564193694 40.64056288571159, -74.136249044031 40.64055874739544, -74.13625329590937 40.64055509435285, -74.13625828192066 40.64055202487742, -74.13626386274271 40.640549623782924, -74.13626988719331 40.64054795698644, -74.13626695952624 40.64049902262064, -74.13627363887865 40.64049850771292, -74.13628438910952 40.64049833107827, -74.13629514657178 40.64049880100709, -74.13630391586318 40.64049938225441, -74.13631257884191 40.64050058228401, -74.13632106101376 40.64050239217907, -74.13632928905375 40.64050479671768, -74.13630716813792 40.6405312820065, -74.13630362433685 40.640542437340855, -74.13630157867992 40.64055144586169, -74.13630291337861 40.64056188040084, -74.1363087778259 40.64058431799899, -74.13631048756237 40.640594894375575, -74.13630918118909 40.640598326903614, -74.1363071267714 40.64060304716078, -74.136304131673 40.640606768055704, -74.13630113569678 40.6406100594037, -74.13629701253656 40.640613066623, -74.13630736233482 40.64062634872558, -74.13631247435046 40.64064850175059, -74.13631604384157 40.64065049847374, -74.13633688145292 40.64065376156741, -74.13634457527621 40.6406533237981, -74.1363584560913 40.640651501797535, -74.13635113537521 40.640669071509855, -74.13634474780736 40.64068684813533, -74.13633186961462 40.640680644415816, -74.13631778630607 40.64067651511952, -74.13630768217426 40.64067585981187, -74.13630314757621 40.64067653247183, -74.13629820481675 40.6406839964333, -74.13629184804437 40.64069081279589, -74.13628422352903 40.640696825596045, -74.13627550241215 40.640701901353935, -74.1362658806959 40.64070592366993, -74.13625557689707 40.64070880223299, -74.13620080102814 40.64072030372163, -74.13619706224534 40.64072745557341, -74.13620239165911 40.6407316096615, -74.13620672223811 40.64073638989299, -74.13620992957549 40.64074165953642, -74.13621191878727 40.64074726651638, -74.13621263516454 40.640753049704855, -74.13621205708606 40.64075884163075, -74.13621020075989 40.64076447477825, -74.13620712023634 40.640769787890264, -74.1362029050472 40.640774627772345, -74.13619767548829 40.64077885470135, -74.13619158144633 40.64078234692949, -74.13618480122263 40.64078500338732, -74.13617752853625 40.640786747301085, -74.1361699725315 40.64078752979503, -74.13615685089557 40.64079469365626, -74.13615626413133 40.64079970754325, -74.13615460012 40.64080457862259, -74.13615190351362 40.640809174465005, -74.13614825089557 40.640813368907, -74.13614373896986 40.64081704746799, -74.13613849402266 40.64082010914023, -74.13613265774288 40.640822470007556, -74.13612638959093 40.640824065043674, -74.13611986325901 40.64082485171849, -74.136113254846 40.64082480821114, -74.1361067475897 40.64082393520517, -74.13610051768272 40.64082225680615, -74.13609473545084 40.64081981873898, -74.13608956062431 40.64081668835372, -74.13608513523764 40.64081295103168, -74.13608157771486 40.6408087083915, -74.13607898759655 40.640804077383024, -74.1360470585352 40.640791964451935, -74.1360395707274 40.64080126487088, -74.13602720962835 40.64079587637636, -74.13601601146823 40.64078917264694, -74.1360062153367 40.64078129658287, -74.13599803318637 40.64077241723148, -74.13599163681621 40.64076272349905, -74.13598016933378 40.64076482086206, -74.13596840086237 40.64076540570701, -74.13595667183317 40.640764461421966, -74.13594532394954 40.64076201551907, -74.13593468481503 40.64075813785168, -74.1359250643903 40.64075294241965, -74.13591673960855 40.640746579282606, -74.13590995200556 40.64073923186146, -74.13584707603589 40.640735731994404, -74.13586312712864 40.64078431857328, -74.13586362470394 40.64078774446224, -74.13586343192944 40.640791188276665, -74.13586255218657 40.640794568965894, -74.13586100659472 40.64079780815962, -74.13585883164868 40.64080083107174, -74.13585607685268 40.64080356560204, -74.13585280709573 40.64080594773703, -74.13584909910854 40.640807923354764, -74.13580970379701 40.64081511821189, -74.13580510546673 40.64081526862612, -74.13580053201518 40.64081486429078, -74.1357961005006 40.64081391677437, -74.13579191973014 40.64081244936189, -74.13578809499168 40.64081049885041, -74.13578472095749 40.64080811375619, -74.13578188286455 40.64080535341292, -74.13577965060159 40.640802287078145, -74.13576264056722 40.6407436950469, -74.13575615097534 40.640740458136406, -74.1357503480133 40.640736536920784, -74.13574535361454 40.64073201500429, -74.13574127555377 40.64072698951611, -74.13573819915926 40.64072156481571, -74.13571842490427 40.640723817841796, -74.135715157312 40.640692971699934, -74.13573626081494 40.64069154648394, -74.13574842175376 40.640672947206575, -74.1357409035597 40.640669067638036, -74.13573432692297 40.64066429724437, -74.13572887298017 40.64065876638717, -74.13572468980938 40.64065262617918, -74.13572189124223 40.64064604578386, -74.13572055566387 40.64063920341168, -74.13572071773754 40.64063228632975, -74.13572237430452 40.64062548545208, -74.13572547845165 40.64061898453983, -74.1357299466094 40.64061296289494, -74.13573565734643 40.640607583654685, -74.13574245255333 40.640602994690674, -74.13575014806923 40.64059932229289, -74.13575014592 40.640596522580154, -74.13575077631357 40.640593764445114, -74.13575202050372 40.64059113075767, -74.13575384200107 40.64058869900561, -74.13575618657617 40.64058654309555, -74.13575898342957 40.640584727047795, -74.13576214873757 40.64058330499259, -74.1357655891956 40.640582319364405, -74.13576920083392 40.640581800003176, -74.13577287492491 40.64058176234604, -74.13577650389372 40.64058220742048, -74.13577997658975 40.64058312185007, -74.1357831924725 40.64058447783738, -74.13578605215979 40.64058623587688, -74.13578847161007 40.64058834293726, -74.13579037858311 40.64059073606742, -74.13579171618855 40.64059334329302, -74.13579244525741 40.64059608721567, -74.13579254197954 40.64059888591624, -74.13579200382014 40.64060165564934, -74.13579686285807 40.640602984481355, -74.13580141795772 40.6406048341724, -74.13580557564761 40.640607165210014, -74.13580924834885 40.64060992906966, -74.13581235792144 40.64061306821038, -74.13584119219394 40.64061136639018, -74.13586742790918 40.64059275047275, -74.13586457097502 40.640572024788725, -74.13586547904764 40.64055701295536, -74.13587108230271 40.640544140612114, -74.13587762391751 40.64053055214728, -74.13587817488188 40.640514914874664, -74.13589570793972 40.64051626834891, -74.13590286421264 40.64051658137711, -74.13590342096855 40.640529910209594))","2020-04-02T00:00:00.000","2020-06-22T00:00:00.000"
"B","Completely Locked","2020-06-23T15:33:25.000","B096","Sgt. William Dougherty Playground Skatepark","B096","B-01","Sgt. William Dougherty Playground",,"Reopened",,"B096-SKATEPARK-01",,"POLYGON ((-73.93676449101093 40.723562640637304, -73.93682749563528 40.72363037552857, -73.93686457349636 40.723716117167044, -73.93688073646248 40.723750701091, -73.93688081166424 40.72375878140397, -73.93687917304794 40.72376676532339, -73.93687586223817 40.723774443953815, -73.93687096701568 40.723781614728544, -73.93686461538958 40.72378809131217, -73.9368569732304 40.723793703599114, -73.93684824189661 40.723798304015986, -73.93683864876068 40.72380177291957, -73.93682844602436 40.72380401949646, -73.93681798920339 40.72380834250793, -73.93682368301077 40.72382154980289, -73.93672341497555 40.723857196341626, -73.93671750465555 40.72384764769283, -73.93664519495925 40.72385751803424, -73.93663127540687 40.72379894663998, -73.93665066195943 40.72379177124233, -73.9365801850763 40.723641920981606, -73.93656540532469 40.72361049496329, -73.93659616796494 40.72360310071425, -73.93676449101093 40.723562640637304))","2020-04-09T19:11:11.000","2020-06-23T00:00:00.000"
